fy_20,2019-09-08,3546515.76339252,4476.03299227327,12012.9759560299,0,-701.456686819605,0,146736.397741486,232866.598305059,31525.3198952742,0,155820.866018399,17938.2926090524,1562.72251030814,0,0,4140.33740654113,53824.7768324424,0,79444.7166645678,18671.3501717859,88530.6169456347,99298.9453082182,0,-71345.7158650263,-2387.38758768227,115254.29226801,0,36625.3649253457,0,0,0,0,0,0,399977.305273872,8726.96419376675,18416.8400179736,0,0,0,0,0,0,0,0,52420.162684196,377131.759304942,509117.683525805,0,0,837139.316339834,0,147925.285612851,0,0,0,0,512.949382950718,51.209842954518,,2019-09-08,6922230.28598256,7262048.16000001,,2019-09-08,fy_20,509681.84275171,399977.305273872,3546515.76339252,27143.8042117403,0,377131.759304942,1004794.03129154,837139.316339834,19501.0151193606,0,52420.162684196,147925.285612851
fy_20,2019-09-15,3302781.9222202,4093.96483157988,6274.83150201443,0,-31.3501007361247,0,208424.060470079,333517.211047747,35957.4393646101,0,-4452.35297593314,14798.5710004894,3189.28389791494,0,0,3863.59299851258,57123.903643322,0,10943.7577093161,20389.6822587443,85296.6805427948,127230.694410885,0,-9828.37531324528,-151.134721294239,44269.7230289165,0,85249.0311202507,0,0,0,0,0,0,373047.017360161,5427.35464108308,11664.1731851784,0,0,0,0,0,0,0,0,48890.7372519147,333080.491447272,509117.683525806,0,0,788083.104182934,0,97739.5315709372,0,0,0,0,4569.77455826405,0,,2019-09-15,6500561.00465972,7083991.49,,2019-09-15,fy_20,513687.45808407,373047.017360161,3302781.9222202,17091.5278262615,0,333080.491447272,1008171.35981756,788083.104182934,17987.8548984043,0,48890.7372519147,97739.5315709372
fy_20,2019-09-22,3473411.70584742,4290.96777927912,10482.9917372254,0,2.42025289084129,0,267474.736328441,433774.847711465,40031.4562399075,0,4625.17099785407,20123.7179099588,3763.92747290798,0,0,4195.17954749804,74532.7943639827,0,0,19708.9927219388,86874.0972543458,119299.759356248,0,14288.5484719996,15.6041019604261,117677.987689139,0,93549.1372599959,0,0,0,0,0,0,386620.137368534,7767.5755341365,17006.375480314,0,0,0,0,0,0,0,0,51393.9531643494,356645.321923563,509117.683525807,0,0,832344.205554321,0,114074.503319442,0,0,10582.7293845382,0,914.792414874945,0,,2019-09-22,7074591.32071434,6980465.37000001,,2019-09-22,fy_20,510032.475940682,386620.137368534,3473411.70584742,24773.9510144505,0,356645.321923563,1290824.69181417,832344.205554321,23887.6453828667,10582.7293845382,51393.9531643494,114074.503319442
fy_20,2019-09-29,3596187.12730543,3506.62133521656,25487.7221061645,0,0.126388427191701,0,249344.214830369,408298.612443452,39506.8962124072,0,736.396518922025,16177.9116148144,3287.60260286899,0,0,4592.2373398255,10592.6711708438,0,0,17376.7497063645,85332.6430094318,115138.323674793,0,3009.99256754233,50582.1650986444,42682.0171187598,0,56432.4020143591,0,0,0,0,0,0,387256.018136989,8825.32894312113,18624.4228396794,0,0,0,0,0,0,0,0,52525.3784809346,364496.781510172,509117.683525807,0,0,852468.201947269,0,146221.8181038,0,0,10815.7055851808,0,50.244975244069,30.9845717360266,,2019-09-29,7078705.00167857,7007712.82,,2019-09-29,fy_20,509198.913072787,387256.018136989,3596187.12730543,27449.7517828005,0,364496.781510172,1112619.79153552,852468.201947269,19465.5142176834,10815.7055851808,52525.3784809346,146221.8181038
fy_20,2019-10-06,3581028.40099673,3208.45434214525,26415.8264770975,0,0.0164603828154657,25253.7595735865,256815.39747227,443012.665552734,15254.7111121666,0,170967.289720957,0,6397.3012349645,0,0,2465.7259179749,4081.05324824382,0,0,18387.2209802107,72402.3841630639,125285.736342239,0,699798.109480005,37892.3553716795,37865.1787243371,0,75888.2184285371,0,0,0,0,0,0,378581.659538146,6881.18606347471,17985.8168508944,0,0,0,0,0,0,0,0,51648.0027685857,371576.529932739,509117.683525803,0,0,835738.175712139,0,148090.559293072,0,0,0,0,1458.22597316366,374.60078720484,,2019-10-06,7923872.24604454,6867647.18999999,,2019-10-06,fy_20,510950.510286172,378581.659538146,3581028.40099673,24867.0029143691,0,371576.529932739,2014994.10336763,835738.175712139,6397.3012349645,0,51648.0027685857,148090.559293072
fy_20,2019-10-13,3467850.04899866,3142.72651650163,16634.3597732513,0,-0.0037551134083835,110776.766907078,262917.129982245,448016.866275928,21057.2995160294,0,136981.716947259,9024.04603912651,9798.72472605573,0,0,5056.98133747534,38423.0377382198,0,0,18247.9675814184,79408.0646969249,142048.353519686,0,48994.5208636402,-34.4369522148645,70818.5369441786,0,76920.0644628698,0,0,0,0,0,0,372091.816620767,6169.67090697864,16126.0820358019,0,0,0,0,0,0,0,0,50762.6259508779,365206.772575793,509117.683525803,0,0,827244.493357087,0,99247.7909368339,0,0,0,0,1146.59354261935,8.10554624977712,,2019-10-13,7213204.40711803,7218782.53,,2019-10-13,fy_20,510272.382614672,372091.816620767,3467850.04899866,22295.7529427805,0,365206.772575793,1479409.95235538,827244.493357087,18822.7707651822,0,50762.6259508779,99247.7909368339
fy_20,2019-10-20,3352704.61410734,3006.39070415581,19080.0919695162,0,-0.00116835954398454,23663.3157061666,253564.990264966,385445.397707669,22668.1220792388,0,-856.391950187288,0,4848.21141608488,0,0,5859.85378233189,37090.4918936966,0,0,17138.942399599,75312.6623199531,160547.578357142,0,2562.09445074073,-82.4469041844716,63935.9450180974,0,71566.5949705634,0,0,0,0,0,0,362476.968731934,4885.35163583035,13255.6288528094,0,0,0,0,0,0,0,0,49164.4779721196,353709.05246207,509117.683525805,0,0,801955.977087571,0,111611.928795451,0,0,0,0,4180.12682182361,518.039884950026,,2019-10-20,6708931.69289489,6829401.63,,2019-10-20,fy_20,513815.850232579,362476.968731934,3352704.61410734,18140.9804886397,0,353709.05246207,1140503.63160111,801955.977087571,4848.21141608488,0,49164.4779721196,111611.928795451
fy_20,2019-10-27,3382654.55863441,2323.84889337998,20414.4675532986,310182.271124432,0.00000457197241894233,0,262732.231231452,428426.990868078,20945.3718364135,0,573.697004982889,0,2413.81502880345,0,0,11966.387049673,22361.6929617248,0,0,16899.6373848788,77609.8408428942,156880.029775259,0,3904.32758524679,0.410280765352354,55950.0936160009,0,74884.6565137692,0,0,0,0,0,0,370845.724544367,4991.88122411775,14712.2319735749,0,0,0,0,0,0,0,0,49297.0385043984,348365.277985169,509117.683525803,0,0,804476.858877152,0,85791.8605080043,0,0,10150.9455068168,0,1113.91607467612,758.718409114796,,2019-10-27,7050746.46532323,7318137.13,,2019-10-27,fy_20,510990.318009594,370845.724544367,3382654.55863441,19704.1131976926,0,348365.277985169,1466055.95452682,804476.858877152,2413.81502880345,10150.9455068168,49297.0385043984,85791.8605080043
fy_20,2019-11-03,3693722.68056686,686.151050078196,32247.6210529701,146504.941031094,0.0000752181522040723,0,333405.880471194,502208.093142028,24032.5026628496,0,3826.31053448674,17336.8280030838,2468.13041118745,0,0,10590.782000143,33150.1946491524,0,0,21610.9040940004,90395.2350719837,173806.442687343,0,761256.795130616,48696.5717594861,66881.470401854,0,106345.629227493,0,0,0,0,0,0,403701.485555553,10465.1645162303,23363.7681264344,0,0,0,0,0,0,0,0,52908.2457170504,428748.774522584,509117.683525806,0,0,864988.604356821,0,145980.940021118,0,0,21884.0106122726,0,2031.96631704309,727.244460390845,,2019-11-03,8533091.05175442,7462228.25999999,,2019-11-03,fy_20,511876.89430324,403701.485555553,3693722.68056686,33828.9326426647,0,428748.774522584,2355645.52504199,864988.604356821,19804.9584142713,21884.0106122726,52908.2457170504,145980.940021118
fy_20,2019-11-10,3669237.45282104,693.534524803072,26793.649012144,119127.357612477,0.00000105710391468935,121464.480548786,300380.181113441,493843.032221328,33546.4848521622,0,137220.922510139,20248.7588295011,3505.42908740602,0,0,8945.5438401024,25666.8280616255,0,0,21020.2727415377,86046.6624868301,128695.681068529,0,83573.2994019117,47449.2836508304,83022.0671990196,0,110246.398284845,0,0,0,0,0,0,408028.243871763,11069.2982483749,24680.3779413915,0,0,0,0,0,0,0,0,53475.3013270571,426311.279744103,509117.683525807,0,0,871211.580273399,0,170105.827659751,0,0,33322.5839660158,0,441.027346234809,3631.17359343426,,2019-11-10,8032121.69736685,7389739.13,,2019-11-10,fy_20,513189.884465476,408028.243871763,3669237.45282104,35749.6761897664,0,426311.279744103,1827735.67913157,871211.580273399,23754.1879169071,33322.5839660158,53475.3013270571,170105.827659751
